,datetime,title,source,link
0,1/29/2026 11:46:35 AM,"Eagle Materials reports Q3 EPS $3.22, consensus $3.38",TipRanks,/news/stocks/eagle-materials-reports-q3-eps-3-22-consensus-3-38-1035762395
1,1/29/2026 11:39:33 AM,Eagle Materials gives mixed Q3 results,Seeking Alpha,https://seekingalpha.com/news/4544088-eagle-materials-gives-mixed-q3-results?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
2,1/29/2026 11:26:15 AM,Wells Fargo Sticks to Their Buy Rating for Eagle Materials (EXP),TipRanks,/news/stocks/wells-fargo-sticks-to-their-buy-rating-for-eagle-materials-exp-1035762248
3,1/29/2026 11:22:19 AM,Eagle Materials price target lowered to $241 from $251 at Wells Fargo,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-241-from-251-at-wells-fargo-1035762261
4,1/28/2026 11:00:16 PM,Here are the major earnings before the open Thursday,Seeking Alpha,https://seekingalpha.com/news/4543489-here-are-the-major-earnings-before-the-open-thursday?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
5,1/28/2026 3:36:27 PM,Eagle Materials Q3 2026 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/4543596-eagle-materials-q3-2026-earnings-preview?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
6,1/25/2026 2:30:14 PM,"Top quant picks for earnings week: CLS, VLO among strong buy favorites, ROP & SLG on weak end",Seeking Alpha,https://seekingalpha.com/news/4542269-top-quant-picks-for-earnings-week-aem-cls-vlo-among-strong-buy-favorites-rop-slg-on-weak-end?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
7,1/20/2026 11:22:02 AM,Eagle Materials downgraded to Equal Weight from Overweight at Stephens,TipRanks,/news/stocks/eagle-materials-downgraded-to-equal-weight-from-overweight-at-stephens-1035728597
8,1/8/2026 11:16:41 AM,Eagle Materials price target lowered to $232 from $233 at Citi,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-232-from-233-at-citi-1035695541
9,12/19/2025 11:10:37 AM,Eagle Materials downgraded to Hold from Buy at Truist,TipRanks,/news/stocks/eagle-materials-downgraded-to-hold-from-buy-at-truist-1035661425
10,12/15/2025 9:46:11 AM,Jefferies Sticks to Their Hold Rating for Eagle Materials (EXP),TipRanks,/news/stocks/jefferies-sticks-to-their-hold-rating-for-eagle-materials-exp-1035645777
11,11/13/2025 10:39:23 PM,"Seth Klarman's Baupost takes stake in Union Pacific, exits ViaSat, among Q3 trades",Seeking Alpha,https://seekingalpha.com/news/4521953-seth-klarmans-baupost-takes-stake-in-union-pacific-exits-viasat-among-q3-trades?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
12,11/11/2025 12:41:11 PM,Eagle Materials price target lowered to $230 from $245 at JPMorgan,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-230-from-245-at-jpmorgan-1035543036
13,11/10/2025 10:30:32 PM,Eagle Materials declares $0.25 dividend,Seeking Alpha,https://seekingalpha.com/news/4519718-eagle-materials-declares-0_25-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
14,11/3/2025 6:55:13 PM,Eagle Materials price target raised to $226 from $220 at Jefferies,TipRanks,/news/stocks/eagle-materials-price-target-raised-to-226-from-220-at-jefferies-1035480962
15,11/3/2025 3:00:11 PM,Eagle Materials price target lowered to $245 from $246 at Stifel,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-245-from-246-at-stifel-1035479739
16,10/31/2025 12:49:12 PM,Truist Financial Reaffirms Their Buy Rating on Eagle Materials (EXP),TipRanks,/news/stocks/truist-financial-reaffirms-their-buy-rating-on-eagle-materials-exp-1035466824
17,10/31/2025 12:20:32 PM,Eagle Materials price target lowered to $225 from $245 at DA Davidson,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-225-from-245-at-da-davidson-1035466587
18,10/31/2025 10:53:10 AM,Eagle Materials price target lowered to $233 from $255 at Citi,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-233-from-255-at-citi-1035465632
19,10/31/2025 10:36:35 AM,Eagle Materials price target lowered to $251 from $261 at Wells Fargo,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-251-from-261-at-wells-fargo-1035465540
20,10/30/2025 10:46:57 AM,"Eagle Materials reports Q2 EPS $4.23, consensus $4.35",TipRanks,/news/stocks/eagle-materials-reports-q2-eps-4-23-consensus-4-35-1035457566
21,10/30/2025 10:37:20 AM,"Eagle Materials Non-GAAP EPS of $4.23 misses by $0.12, revenue of $638.9M beats by $3.35M",Seeking Alpha,https://seekingalpha.com/news/4511146-eagle-materials-non-gaap-eps-of-4_23-misses-by-0_12-revenue-of-638_9m-beats-by-3_35m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
22,10/29/2025 9:50:29 PM,Eagle Materials Q2 2026 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/4510486-eagle-materials-q2-2026-earnings-preview?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
23,10/7/2025 8:25:27 PM,Eagle Materials initiated with an Overweight at Wells Fargo,TipRanks,/news/stocks/eagle-materials-initiated-with-an-overweight-at-wells-fargo-1035277761
24,8/26/2025 10:25:25 AM,Eagle Materials price target raised to $245 from $220 at JPMorgan,TipRanks,/news/stocks/eagle-materials-price-target-raised-to-245-from-220-at-jpmorgan-1035078239
25,8/14/2025 12:00:31 PM,Eagle Materials announces dual listing on NYSE Texas,TipRanks,/news/stocks/eagle-materials-announces-dual-listing-on-nyse-texas-1035039862
26,8/6/2025 10:10:10 PM,Eagle Materials declares $0.25 dividend,Seeking Alpha,https://seekingalpha.com/news/4480767-eagle-materials-declares-0_25-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
27,7/30/2025 5:05:47 PM,Stifel Nicolaus Keeps Their Hold Rating on Eagle Materials (EXP),TipRanks,/news/stocks/stifel-nicolaus-keeps-their-hold-rating-on-eagle-materials-exp-1034961011
28,7/30/2025 12:46:00 PM,D.A. Davidson Sticks to Their Hold Rating for Eagle Materials (EXP),TipRanks,/news/stocks/d-a-davidson-sticks-to-their-hold-rating-for-eagle-materials-exp-1034959983
29,7/30/2025 11:59:05 AM,Truist Financial Reaffirms Their Buy Rating on Eagle Materials (EXP),TipRanks,/news/stocks/truist-financial-reaffirms-their-buy-rating-on-eagle-materials-exp-1034959672
30,7/30/2025 11:10:34 AM,Analysts Offer Insights on Materials Companies: Eagle Materials (EXP) and Corning (GLW),TipRanks,/news/stocks/analysts-offer-insights-on-materials-companies-eagle-materials-exp-and-corning-glw-1034959208
31,7/29/2025 10:46:06 AM,"Eagle Materials reports Q1 EPS $3.76, consensus $3.68",TipRanks,/news/stocks/eagle-materials-reports-q1-eps-3-76-consensus-3-68-1034952058
32,7/29/2025 10:35:04 AM,"Eagle Materials GAAP EPS of $3.76 beats by $0.09, revenue of $634.69M beats by $24.04M",Seeking Alpha,https://seekingalpha.com/news/4473169-eagle-materials-gaap-eps-of-3_76-beats-by-0_09-revenue-of-634_69m-beats-by-24_04m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
33,7/28/2025 10:00:56 PM,Here are the major earnings before the open Tuesday,Seeking Alpha,https://seekingalpha.com/news/4472701-here-are-the-major-earnings-before-the-open-tuesday?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
34,7/28/2025 4:07:20 PM,Eagle Materials FQ1 2026 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/4472810-eagle-materials-fq1-2026-earnings-preview?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
35,7/16/2025 12:15:12 AM,Eagle Materials (EXP) was downgraded to a Sell Rating at CFRA,TipRanks,/news/stocks/eagle-materials-exp-was-downgraded-to-a-sell-rating-at-cfra-1034902272
36,6/2/2025 4:15:45 PM,D.A. Davidson Keeps Their Hold Rating on Eagle Materials (EXP),TipRanks,/news/stocks/d-a-davidson-keeps-their-hold-rating-on-eagle-materials-exp-1034788628
37,5/28/2025 11:10:18 AM,Eagle Materials price target lowered to $230 from $279 at Citi,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-230-from-279-at-citi-1034771648
38,5/27/2025 11:26:38 AM,Truist Financial Sticks to Their Buy Rating for Eagle Materials (EXP),TipRanks,/news/stocks/truist-financial-sticks-to-their-buy-rating-for-eagle-materials-exp-1034767221
39,5/23/2025 5:00:41 PM,Eagle Materials management to meet with Stephens,TipRanks,/news/stocks/eagle-materials-management-to-meet-with-stephens-1034761016
40,5/23/2025 1:05:19 PM,Eagle Materials price target lowered to $245 from $260 at DA Davidson,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-245-from-260-at-da-davidson-1034760629
41,5/23/2025 12:55:43 PM,Eagle Materials (EXP) Gets a Hold from D.A. Davidson,TipRanks,/news/stocks/eagle-materials-exp-gets-a-hold-from-d-a-davidson-1034760650
42,5/22/2025 8:18:36 PM,Eagle Materials declares $0.25 dividend,Seeking Alpha,https://seekingalpha.com/news/4451826-eagle-materials-declares-0_25-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
43,5/22/2025 11:20:17 AM,Eagle Materials price target lowered to $255 from $275 at Stephens,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-255-from-275-at-stephens-1034756175
44,5/21/2025 9:35:10 PM,Eagle Materials price target lowered to $242 from $252 at Goldman Sachs,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-242-from-252-at-goldman-sachs-1034752889
45,5/21/2025 11:40:04 AM,Analysts Offer Insights on Materials Companies: Eagle Materials (EXP) and Icl (ICL),TipRanks,/news/stocks/analysts-offer-insights-on-materials-companies-eagle-materials-exp-and-icl-icl-1034751767
46,5/21/2025 11:35:42 AM,Eagle Materials price target lowered to $237 from $245 at Loop Capital,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-237-from-245-at-loop-capital-1034751774
47,5/21/2025 11:05:42 AM,Eagle Materials price target lowered to $241 from $242 at Stifel,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-241-from-242-at-stifel-1034751666
48,5/20/2025 10:35:06 AM,"Eagle Materials reports Q4 adjusted EPS $2.08, consensus $2.43",TipRanks,/news/stocks/eagle-materials-reports-q4-adjusted-eps-2-08-consensus-2-43-1034747052
49,5/20/2025 10:31:23 AM,"Eagle Materials Non-GAAP EPS of $2.08 misses by $0.35, revenue of $470.18M misses by $8.77M",Seeking Alpha,https://seekingalpha.com/news/4450377-eagle-materials-non-gaap-eps-of-2_08-misses-by-0_35-revenue-of-470_18m-misses-by-8_77m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
50,5/19/2025 10:00:40 PM,Here are the major earnings before the open tomorrow,Seeking Alpha,https://seekingalpha.com/news/4450107-here-are-the-major-earnings-before-the-open-tomorrow?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
51,5/19/2025 4:09:04 PM,Eagle Materials Q4 2025 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/4450165-eagle-materials-q4-2025-earnings-preview?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
52,5/16/2025 12:27:47 PM,"Eagle Materials to expand, modernize Oklahoma gypsum wallboard plant",TipRanks,/news/stocks/eagle-materials-to-expand-modernize-oklahoma-gypsum-wallboard-plant-1034738830
53,5/15/2025 4:01:15 PM,"Seth Klarman's Baupost adds FIS, SGI stakes, dumps SNRE, HUM, among Q1 moves",Seeking Alpha,https://seekingalpha.com/news/4448982-seth-klarmans-baupost-adds-fis-sgi-stakes-dumps-snre-hum-among-q1-moves?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
54,4/24/2025 1:55:59 PM,Eagle Materials price target lowered to $280 from $330 at Truist,TipRanks,/news/stocks/eagle-materials-price-target-lowered-to-280-from-330-at-truist-1034622014
55,4/24/2025 11:33:14 AM,"Analysts Are Bullish on These Materials Stocks: Element Solutions (ESI), Eagle Materials (EXP)",TipRanks,/news/stocks/analysts-are-bullish-on-these-materials-stocks-element-solutions-esi-eagle-materials-exp-1034620909
