,datetime,title,source,link
0,1/29/2026 1:08:10 AM,Morgan Stanley Keeps Their Buy Rating on James Hardie (JHIUF),TipRanks,/news/stocks/morgan-stanley-keeps-their-buy-rating-on-james-hardie-jhiuf-1035759814
1,1/28/2026 4:15:56 AM,Jarden Remains a Buy on James Hardie (JHIUF),TipRanks,/news/stocks/jarden-remains-a-buy-on-james-hardie-jhiuf-1035754739
2,1/20/2026 10:20:36 AM,Wall Street Analysts Are Neutral on Top Materials Picks,TipRanks,/news/stocks/wall-street-analysts-are-neutral-on-top-materials-picks-1035728296
3,1/20/2026 9:29:05 AM,Barclays Remains a Hold on James Hardie Industries PLC (JHX),TipRanks,/news/stocks/barclays-remains-a-hold-on-james-hardie-industries-plc-jhx-1035728139
4,1/17/2026 1:50:17 AM,Analysts Have Conflicting Sentiments on These Materials Companies: James Hardie Industries PLC (JHX) and Rio Tinto Limited (OtherRTNTF),TipRanks,/news/stocks/analysts-have-conflicting-sentiments-on-these-materials-companies-james-hardie-industries-plc-jhx-and-rio-tinto-limited-otherrtntf-1035722340
5,1/15/2026 11:07:43 PM,James Hardie (JHIUF) Receives a Buy from Macquarie,TipRanks,/news/stocks/james-hardie-jhiuf-receives-a-buy-from-macquarie-1035718836
6,1/15/2026 10:38:51 PM,Bank of America Securities Remains a Buy on James Hardie Industries PLC (JHX),TipRanks,/news/stocks/bank-of-america-securities-remains-a-buy-on-james-hardie-industries-plc-jhx-1035718807
7,1/15/2026 9:10:56 PM,"James Hardie to close Fontana, Summerville manufacturing facilities",TipRanks,/news/stocks/james-hardie-to-close-fontana-summerville-manufacturing-facilities-1035718738
8,1/15/2026 9:10:43 PM,James Hardie sees incurring pre-tax charges of $40M-$44M from closures,TipRanks,/news/stocks/james-hardie-sees-incurring-pre-tax-charges-of-40m--44m-from-closures-1035718740
9,12/19/2025 1:50:45 AM,RBC Capital Keeps Their Hold Rating on James Hardie (JHIUF),TipRanks,/news/stocks/rbc-capital-keeps-their-hold-rating-on-james-hardie-jhiuf-1035659602
10,12/14/2025 11:35:13 PM,Macquarie Sticks to Their Buy Rating for James Hardie (JHIUF),TipRanks,/news/stocks/macquarie-sticks-to-their-buy-rating-for-james-hardie-jhiuf-1035643968
11,12/10/2025 10:35:48 PM,Citi Reaffirms Their Buy Rating on James Hardie (JHIUF),TipRanks,/news/stocks/citi-reaffirms-their-buy-rating-on-james-hardie-jhiuf-1035635474
12,12/8/2025 9:20:45 PM,"Latham Group CEO Scott Rajeski to retire, Sean Gadd to succeed",TipRanks,/news/stocks/latham-group-ceo-scott-rajeski-to-retire-sean-gadd-to-succeed-1035627945
13,12/8/2025 10:35:05 AM,James Hardie initiated with an Equal Weight at Barclays,TipRanks,/news/stocks/james-hardie-initiated-with-an-equal-weight-at-barclays-1035626413
14,12/5/2025 12:55:45 PM,James Hardie Industries PLC (JHX) Receives a Buy from Oppenheimer,TipRanks,/news/stocks/james-hardie-industries-plc-jhx-receives-a-buy-from-oppenheimer-1035622850
