,datetime,title,source,link
0,1/29/2026 11:22:04 AM,Knife River price target lowered to $75 from $81 at Wells Fargo,TipRanks,/news/stocks/knife-river-price-target-lowered-to-75-from-81-at-wells-fargo-1035762263
1,1/27/2026 2:01:29 PM,"Analysts Offer Insights on Materials Companies: Knife River Corporation (KNF), Algoma Steel Group (ASTL) and Steel Dynamics (STLD)",TipRanks,/news/stocks/analysts-offer-insights-on-materials-companies-knife-river-corporation-knf-algoma-steel-group-astl-and-steel-dynamics-stld-1035752030
2,1/26/2026 3:15:30 PM,Oppenheimer Sticks to Its Buy Rating for Knife River Corporation (KNF),TipRanks,/news/stocks/oppenheimer-sticks-to-its-buy-rating-for-knife-river-corporation-knf-1035747518
3,1/26/2026 1:30:14 PM,Analysts Have Conflicting Sentiments on These Materials Companies: Equinox Gold (EQX) and Knife River Corporation (KNF),TipRanks,/news/stocks/analysts-have-conflicting-sentiments-on-these-materials-companies-equinox-gold-eqx-and-knife-river-corporation-knf-1035747142
4,1/16/2026 2:35:43 PM,"Seagate upgraded, Tractor Supply downgraded: Wall Street’s top analyst calls",TipRanks,/news/stocks/seagate-upgraded-tractor-supply-downgraded-wall-street-s-top-analyst-calls-1035721742
5,1/16/2026 10:10:19 AM,Knife River initiated with a Buy at B. Riley,TipRanks,/news/stocks/knife-river-initiated-with-a-buy-at-b-riley-1035720745
6,1/15/2026 10:20:41 PM,Knife River initiated with a Buy at B. Riley,TipRanks,/news/stocks/knife-river-initiated-with-a-buy-at-b-riley-1035718777
7,1/13/2026 11:25:11 AM,Knife River downgraded to Equal Weight on valuation at Wells Fargo,TipRanks,/news/stocks/knife-river-downgraded-to-equal-weight-on-valuation-at-wells-fargo-1035707742
8,1/13/2026 11:11:00 AM,Knife River downgraded to Equal Weight from Overweight at Wells Fargo,TipRanks,/news/stocks/knife-river-downgraded-to-equal-weight-from-overweight-at-wells-fargo-1035707819
9,12/15/2025 11:35:43 AM,"Knife River acquires assets of Texcrete, terms not disclosed",TipRanks,/news/stocks/knife-river-acquires-assets-of-texcrete-terms-not-disclosed-1035646173
