,datetime,title,source,link
0,1/8/2026 9:55:15 PM,Titan America to acquire Keystone Cement in $310M deal,TipRanks,/news/stocks/titan-america-to-acquire-keystone-cement-in-310m-deal-1035697189
1,1/8/2026 9:53:26 PM,Titan America to acquire Keystone Cement in $310M mid-Atlantic expansion,Seeking Alpha,https://seekingalpha.com/news/4537910-titan-america-to-acquire-keystone-cement-in-310m-mid-atlantic-expansion?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
2,1/8/2026 11:15:38 AM,Titan America price target raised to $20 from $17 at Citi,TipRanks,/news/stocks/titan-america-price-target-raised-to-20-from-17-at-citi-1035695557
3,12/15/2025 11:45:08 AM,Titan America price target raised to $20 from $18 at Jefferies,TipRanks,/news/stocks/titan-america-price-target-raised-to-20-from-18-at-jefferies-1035646265
4,12/15/2025 9:46:48 AM,Jefferies Sticks to Their Buy Rating for Titan America SA (TTAM),TipRanks,/news/stocks/jefferies-sticks-to-their-buy-rating-for-titan-america-sa-ttam-1035645765
5,11/14/2025 10:54:40 PM,"Soros Capital adds Vimeo, exits Titan America, among Q3 trades",Seeking Alpha,https://seekingalpha.com/news/4522601-soros-capital-adds-vimeo-exits-titan-america-among-q3-trades?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
6,11/5/2025 10:25:23 PM,"Titan America reports Q3 EPS 31c, consensus 31c",TipRanks,/news/stocks/titan-america-reports-q3-eps-31c-consensus-31c-1035500772
7,11/5/2025 10:25:17 PM,Titan America sees FY25 revenue up 2%-3% y/y,TipRanks,/news/stocks/titan-america-sees-fy25-revenue-up-2--3-y-y-1035500773
8,10/30/2025 2:40:41 PM,Titan America SA declares $0.04 dividend,Seeking Alpha,https://seekingalpha.com/news/4511478-titan-america-sa-declares-0_04-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
9,10/27/2025 12:25:46 PM,Bernstein Sticks to Their Hold Rating for Titan America SA (TTAM),TipRanks,/news/stocks/bernstein-sticks-to-their-hold-rating-for-titan-america-sa-ttam-1035434148
10,9/22/2025 1:15:36 PM,Titan America SA (TTAM) Receives a Hold from Bernstein,TipRanks,/news/stocks/titan-america-sa-ttam-receives-a-hold-from-bernstein-1035186720
11,9/4/2025 12:56:56 AM,Titan America SA (TTAM) Receives a Hold from Bernstein,TipRanks,/news/stocks/titan-america-sa-ttam-receives-a-hold-from-bernstein-1035113410
12,8/25/2025 11:05:35 AM,Titan America SA (TTAM) Gets a Hold from Bernstein,TipRanks,/news/stocks/titan-america-sa-ttam-gets-a-hold-from-bernstein-1035073081
13,7/30/2025 12:16:20 PM,Titan America SA declares $0.04 dividend,Seeking Alpha,https://seekingalpha.com/news/4474234-titan-america-sa-declares-0_04-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
