,datetime,title,source,link
0,10/29/2025 9:05:00 PM,United States Lime & Minerals Reports Third Quarter 2025 Results And Declares Regular Quarterly Cash Dividend,GlobeNewswire,/news/stocks/united-states-lime-minerals-reports-third-quarter-2025-results-and-declares-regular-quarterly-cash-dividend-1035449925
1,10/29/2025 9:03:04 PM,"United States Lime & Minerals GAAP EPS of $1.35, revenue of $102M in-line",Seeking Alpha,https://seekingalpha.com/news/4510845-united-states-lime-and-minerals-gaap-eps-of-1_35-revenue-of-102m-in-line?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
2,10/29/2025 8:48:09 PM,United States Lime & Minerals declares $0.06 dividend,Seeking Alpha,https://seekingalpha.com/news/4510801-united-states-lime-and-minerals-declares-0_06-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
3,7/30/2025 11:12:49 PM,United States Lime & Minerals Reports Second Quarter 2025 Results and Declares Regular Quarterly Cash Dividend,GlobeNewswire,/news/stocks/united-states-lime-minerals-reports-second-quarter-2025-results-and-declares-regular-quarterly-cash-dividend-1034960742
4,7/30/2025 9:26:58 PM,"United States Lime & Minerals GAAP EPS of $1.07 misses by $0.07, revenue of $91.52M misses by $5.48M",Seeking Alpha,https://seekingalpha.com/news/4474993-united-states-lime-minerals-gaap-eps-of-107-misses-by-007-revenue-of-9152m-misses-by-548m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
5,7/30/2025 9:15:16 PM,United States Lime & Minerals declares $0.06 dividend,Seeking Alpha,https://seekingalpha.com/news/4474972-united-states-lime-and-minerals-declares-0_06-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
6,5/1/2025 5:37:25 AM,"United States Lime & Minerals GAAP EPS of $1.19, revenue of $91.3M",Seeking Alpha,https://seekingalpha.com/news/4438696-united-states-lime-minerals-gaap-eps-of-119-revenue-of-913m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
7,5/1/2025 4:22:33 AM,United States Lime & Minerals declares $0.06 dividend,Seeking Alpha,https://seekingalpha.com/news/4438677-united-states-lime-and-minerals-declares-0_06-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
8,4/30/2025 11:51:10 PM,United States Lime & Minerals Reports First Quarter 2025 Results and Declares Regular Quarterly Cash Dividend,GlobeNewswire,/news/stocks/united-states-lime-minerals-reports-first-quarter-2025-results-and-declares-regular-quarterly-cash-dividend-1034652520
9,2/3/2025 10:31:50 PM,United States Lime & Minerals Reports Fourth Quarter and Full Year 2024 Results and Declares Increased Regular Quarterly Cash Dividend,GlobeNewswire,/news/stocks/united-states-lime-minerals-reports-fourth-quarter-and-full-year-2024-results-and-declares-increased-regular-quarterly-cash-dividend-1034305762
10,2/3/2025 9:40:29 PM,United States Lime & Minerals increases quarterly dividend to 6c per share,TipRanks,/news/stocks/united-states-lime-minerals-increases-quarterly-dividend-to-6c-per-share-1034305836
11,2/3/2025 9:37:09 PM,United States Lime & Minerals raises quarterly dividend by 20% to  $0.06/share,Seeking Alpha,https://seekingalpha.com/news/4402291-united-states-lime-minerals-raises-quarterly-dividend-by-20-to-006share?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
12,2/3/2025 9:35:09 PM,United States Lime & Minerals reports Q4 EPS 94c vs. 60c last year,TipRanks,/news/stocks/united-states-lime-minerals-reports-q4-eps-94c-vs-60c-last-year-1034305850
13,2/3/2025 9:33:48 PM,"United States Lime & Minerals GAAP EPS of $0.94, revenue of $80.06M",Seeking Alpha,https://seekingalpha.com/news/4402287-united-states-lime-minerals-gaap-eps-of-094-revenue-of-8006m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
14,1/1/2025 1:30:32 AM,Oil benchmarks little changed for 2024; demand concerns dampen 2025 price outlook,Seeking Alpha,https://seekingalpha.com/news/4391779-oil-futures-little-changed-for-2024-demand-concerns-dampen-2025-price-outlook?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
15,10/31/2024 9:41:45 AM,United States Lime & Minerals declares $0.05 dividend,Seeking Alpha,https://seekingalpha.com/news/4227406-united-states-lime-and-minerals-declares-0_05-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
16,10/31/2024 8:45:47 AM,"United States Lime & Minerals GAAP EPS of $1.16, revenue of $89.43M",Seeking Alpha,https://seekingalpha.com/news/4227167-united-states-lime-minerals-gaap-eps-of-116-revenue-of-8943m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
17,10/31/2024 4:43:47 AM,United States Lime & Minerals Reports Strong Q3 Growth,TipRanks,/news/stocks/united-states-lime-minerals-reports-strong-q3-growth-1033925634
18,10/30/2024 9:05:00 PM,United States Lime & Minerals Reports Third Quarter 2024 Results and Declares Regular Quarterly Cash Dividend,GlobeNewswire,/news/stocks/united-states-lime-minerals-reports-third-quarter-2024-results-and-declares-regular-quarterly-cash-dividend-1033920569
19,8/1/2024 11:35:53 AM,"United States Lime & Minerals GAAP EPS of $0.91, revenue of $76.5M",Seeking Alpha,https://seekingalpha.com/news/4132132-united-states-lime-and-minerals-gaap-eps-of-0_91-revenue-of-76_5m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
20,8/1/2024 6:01:05 AM,United States Lime & Minerals declares $0.05 dividend,Seeking Alpha,https://seekingalpha.com/news/4131715-united-states-lime-and-minerals-inc-declares-0_91-dividend?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
21,8/1/2024 2:52:41 AM,USLM Stock Earnings: United States Lime Reported Results for Q2 2024,InvestorPlace,/news/stocks/uslm-stock-earnings-united-states-lime-for-q2-of-2024-1033621464
22,7/31/2024 11:21:34 PM,United States Lime & Minerals Reports Second Quarter 2024 Results and Declares Regular Quarterly Cash Dividend,GlobeNewswire,/news/stocks/united-states-lime-minerals-reports-second-quarter-2024-results-and-declares-regular-quarterly-cash-dividend-1033621069
23,6/21/2024 11:50:00 AM,7 Stocks to Buy Before Their Upcoming Stock Splits,InvestorPlace,/news/stocks/7-stocks-to-buy-before-their-upcoming-stock-splits-1033495720
